,Shading Maps
0,"[[ 0.          0.0547046   0.54704595  1.25820569  4.92341357  5.41575492]
 [ 1.03938731  2.40700219  5.08752735  7.76805252 10.          5.08752735]
 [ 5.19693654  7.9321663   7.11159737  8.64332604  5.85339168  3.66520788]
 [ 2.84463895  2.18818381  3.11816193  5.03282276  5.52516411  7.16630197]
 [ 0.21881838  1.69584245  4.15754923  7.16630197 10.         10.        ]
 [ 0.71115974  1.80525164  4.81400438 10.         10.          8.69803063]
 [ 0.60175055  3.00875274 10.         10.          9.46389497  7.82275711]
 [ 1.53172867 10.         10.          5.96280088  7.60393873 10.        ]
 [ 5.36105033  8.47921225  2.84463895  3.71991247 10.         10.        ]
 [ 6.23632385  2.57111597  1.31291028  1.69584245 10.         10.        ]]"
1,"[[ 0.          0.05112474  0.15337423  0.30674847  0.66462168  0.61349693]
 [ 0.30674847  1.07361963  1.02249489  1.3803681   1.53374233  2.96523517]
 [ 1.07361963  5.26584867  6.69734151  4.24335378 10.          5.77709611]
 [ 2.81186094 10.         10.         10.          7.2597137   6.74846626]
 [ 5.26584867 10.         10.          5.57259714  6.13496933  4.70347648]
 [ 7.56646217 10.          8.43558282  3.37423313  6.49284254  2.09611452]
 [10.          6.74846626  5.11247444  7.66871166  3.32310838  2.86298569]
 [ 5.52147239  4.19222904  7.00408998  6.54396728  5.62372188  4.49897751]
 [ 3.2208589   5.06134969  8.74233129  5.67484663  7.2597137   6.13496933]
 [ 2.60736196  7.82208589 10.          6.23721881  7.66871166  5.26584867]]"
2,"[[ 0.          0.          0.05050505  0.1010101   0.          0.50505051]
 [ 0.          0.45454545  0.25252525  0.35353535  0.75757576  1.86868687]
 [ 0.3030303   1.91919192  1.66666667  0.80808081  2.12121212  4.29292929]
 [ 1.06060606  3.23232323  3.08080808  3.13131313  5.75757576 10.        ]
 [ 1.71717172  5.90909091  6.91919192  8.93939394 10.         10.        ]
 [ 1.61616162  5.35353535  9.39393939 10.         10.          3.63636364]
 [ 1.61616162  7.32323232 10.         10.          7.37373737 10.        ]
 [ 4.8989899   9.74747475 10.          9.24242424  9.7979798  10.        ]
 [ 8.38383838  9.34343434 10.          5.25252525  2.57575758  8.23232323]
 [ 7.22222222  7.17171717 10.          0.95959596  0.25252525  0.80808081]]"
3,"[[ 0.94752187  6.34110787 10.          5.39358601  4.59183673  3.06122449]
 [ 1.53061224 10.         10.         10.         10.          7.72594752]
 [ 5.10204082 10.         10.         10.         10.         10.        ]
 [10.          9.83965015 10.         10.         10.         10.        ]
 [10.         10.         10.         10.         10.          4.15451895]
 [ 8.89212828 10.          9.83965015  6.55976676  2.9154519   1.31195335]
 [ 0.94752187  0.51020408  0.0728863   0.36443149  1.31195335 10.        ]
 [ 0.          0.58309038  0.80174927  1.74927114 10.         10.        ]
 [ 1.74927114  3.86297376  6.41399417 10.         10.          2.11370262]
 [ 2.40524781  6.48688047 10.         10.          4.59183673  0.14577259]]"
4,"[[ 0.          0.05482456  0.05482456  0.32894737  5.81140351  3.67324561]
 [ 0.49342105  0.76754386  0.98684211  4.60526316  4.93421053  2.08333333]
 [ 1.91885965  2.13815789  4.98903509  5.75657895  3.56359649  2.85087719]
 [ 3.78289474  6.52412281  8.33333333  3.89254386  6.41447368  3.39912281]
 [ 4.11184211  7.9495614   5.92105263  6.19517544  6.9627193   2.57675439]
 [ 6.57894737  9.375       8.71710526  7.40131579  5.5372807   1.20614035]
 [10.         10.         10.          8.44298246 10.         10.        ]
 [10.         10.          7.34649123 10.         10.          3.17982456]
 [10.          7.23684211  4.38596491  7.45614035  9.21052632  5.97587719]
 [ 3.8377193   2.52192982  1.91885965  9.04605263 10.         10.        ]]"
5,"[[ 0.          0.          0.          2.71604938 10.          3.08641975]
 [ 0.          0.          0.18518519  9.32098765 10.          7.59259259]
 [ 0.12345679  0.24691358  0.98765432  9.69135802 10.         10.        ]
 [ 0.24691358  0.67901235  1.35802469  8.51851852 10.          6.54320988]
 [ 0.86419753  1.60493827  3.7037037  10.          5.55555556  2.16049383]
 [ 2.5308642   3.51851852  9.01234568 10.          8.27160494 10.        ]
 [ 3.51851852  6.2962963  10.         10.         10.         10.        ]
 [ 4.81481481  6.60493827  9.9382716  10.         10.         10.        ]
 [ 3.51851852  3.45679012  8.02469136 10.         10.         10.        ]
 [ 1.79012346  3.27160494  2.77777778  4.87654321  7.5308642   7.59259259]]"
6,"[[ 1.08958838  4.78208232  0.          0.42372881  1.69491525  7.02179177]
 [ 2.66343826  9.8062954   0.36319613  1.57384988  5.44794189 10.        ]
 [ 2.84503632 10.          1.39225182  7.99031477 10.         10.        ]
 [ 2.78450363 10.          2.96610169 10.         10.         10.        ]
 [ 1.39225182  6.65859564  8.05084746  9.38256659  9.20096852  0.78692494]
 [ 1.33171913  8.95883777  6.41646489 10.         10.         10.        ]
 [ 5.93220339  3.32929782  3.75302663 10.          9.62469734  9.62469734]
 [ 0.90799031  0.36319613 10.          9.38256659 10.          5.99273608]
 [ 0.36319613  4.78208232 10.          9.56416465  8.47457627 10.        ]
 [ 5.44794189  6.8401937   2.42130751  2.11864407  6.65859564  9.62469734]]"
7,"[[ 0.          0.28625954  2.95801527  8.11068702 10.         10.        ]
 [ 0.19083969  2.38549618  9.44656489 10.         10.         10.        ]
 [ 0.95419847  9.92366412 10.         10.         10.         10.        ]
 [ 5.15267176 10.         10.         10.         10.          7.44274809]
 [10.         10.          6.39312977 10.          6.58396947  3.24427481]
 [ 7.53816794  2.00381679  6.87022901 10.          7.82442748  4.77099237]
 [ 0.76335878  3.91221374 10.          8.30152672  6.48854962 10.        ]
 [ 0.76335878 10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.         10.         10.        ]
 [10.          8.49236641 10.         10.         10.         10.        ]]"
8,"[[ 4.82897384  6.08651911  5.48289738  9.05432596  0.60362173  0.        ]
 [ 4.67806841  7.89738431  7.54527163 10.          1.71026157  0.20120724]
 [ 2.86720322  5.88531187  5.28169014 10.          1.20724346  0.15090543]
 [ 1.00603622  1.4084507   3.11871227  9.95975855  1.25754527  0.70422535]
 [ 0.55331992  3.2193159   9.60764588 10.          5.43259557  3.26961771]
 [ 9.10462777 10.         10.         10.          7.64587525  5.83501006]
 [ 3.06841046  5.23138833 10.          7.59557344  3.37022133  2.7665996 ]
 [ 3.92354125  4.1750503   4.92957746  2.11267606  1.25754527  0.4527163 ]
 [ 4.37625755  4.57746479  6.58953722  5.63380282  4.22535211  2.16297787]
 [ 8.45070423 10.         10.         10.          8.09859155  2.26358149]]"
9,"[[ 0.          1.49903288  3.77176015  6.57640232  6.91489362  4.64216634]
 [ 0.3868472   3.09477756  8.89748549 10.         10.          5.31914894]
 [ 0.43520309  2.51450677  6.81818182  8.2205029   5.70599613  2.07930368]
 [ 0.48355899  1.74081238  2.94970986  1.88588008  1.30560928  0.3868472 ]
 [ 0.82205029  1.78916828  1.69245648  0.67698259  1.74081238  0.67698259]
 [ 2.65957447  2.07930368  7.59187621  7.35009671  2.07930368  0.0483559 ]
 [ 5.17408124 10.         10.          4.49709865  0.91876209  0.3384913 ]
 [10.          9.52611219 10.          3.82011605  2.75628627  1.98259188]
 [10.         10.         10.         10.         10.         10.        ]
 [ 6.86653772  2.65957447  6.86653772  9.42940039  2.65957447  0.1450677 ]]"
