,Shading Maps
0,"[[ 0.          0.          0.          0.37393162  3.36538462  7.42521368]
 [ 0.          0.0534188   2.35042735 10.          9.08119658  5.23504274]
 [ 0.64102564  7.37179487  8.17307692  4.22008547 10.          4.86111111]
 [ 4.27350427  2.40384615 10.         10.          5.98290598  0.37393162]
 [ 9.98931624 10.         10.          5.71581197  1.6025641   0.21367521]
 [ 5.76923077 10.          8.27991453  5.60897436  4.27350427  2.24358974]
 [ 6.51709402  7.7991453  10.         10.         10.         10.        ]
 [ 6.3034188  10.         10.          3.1517094   0.53418803  0.        ]
 [ 6.25        3.0982906   8.81410256  1.38888889  0.21367521  0.21367521]
 [ 2.13675214 10.          1.28205128  0.16025641  0.0534188   3.41880342]]"
1,"[[ 0.         10.          4.58333333  1.66666667  2.97619048  2.73809524]
 [10.          1.19047619  1.25        2.91666667  2.61904762  5.47619048]
 [ 0.17857143  0.77380952  2.55952381  7.55952381 10.         10.        ]
 [ 0.6547619   4.82142857 10.         10.          5.35714286 10.        ]
 [ 5.11904762  8.69047619  1.8452381   5.29761905 10.         10.        ]
 [ 0.53571429  2.02380952  7.85714286 10.         10.          7.02380952]
 [ 0.95238095  9.22619048 10.          8.80952381  8.80952381  8.57142857]
 [ 7.08333333  9.70238095 10.          4.10714286 10.          7.61904762]
 [ 3.0952381   6.54761905 10.          7.73809524  8.69047619  2.20238095]
 [ 0.05952381  7.67857143  1.42857143  7.55952381  2.79761905  0.23809524]]"
2,"[[ 0.          0.          0.3493014   1.09780439  4.44111776  5.28942116]
 [ 0.          0.0499002   0.64870259  3.44311377  7.88423154 10.        ]
 [ 0.0499002   0.0499002   1.64670659  2.54491018  6.18762475  5.48902196]
 [ 0.          0.1497006   1.89620758  4.29141717  5.08982036  1.44710579]
 [ 0.249501    0.3493014   2.09580838  5.13972056  4.19161677  2.44510978]
 [ 2.94411178  3.19361277  3.89221557  5.83832335  5.48902196  2.74451098]
 [ 9.93013972 10.         10.         10.          7.98403194  7.48502994]
 [10.         10.         10.         10.         10.         10.        ]
 [ 9.18163673 10.         10.         10.         10.         10.        ]
 [ 4.54091816  6.13772455  5.48902196 10.          5.63872255  6.58682635]]"
3,"[[ 0.          0.          0.22123894  5.19911504  5.36504425  0.        ]
 [ 0.          0.60840708  9.07079646  8.68362832  0.1659292   0.11061947]
 [ 1.05088496 10.         10.          1.27212389  0.94026549  3.59513274]
 [10.         10.          5.03318584  1.21681416  4.59070796  7.30088496]
 [10.         10.          1.27212389  3.81637168  4.8119469   2.71017699]
 [ 5.42035398  1.05088496  4.09292035  5.53097345  4.75663717  1.93584071]
 [ 0.49778761  4.6460177  10.          9.62389381  0.99557522  9.95575221]
 [ 6.02876106 10.         10.          2.04646018 10.          6.25      ]
 [10.         10.          3.92699115  8.0199115  10.          5.36504425]
 [ 7.30088496  4.8119469   4.86725664 10.          7.07964602  4.36946903]]"
4,"[[ 2.42673993  5.35714286  5.17399267 10.          9.02014652  4.34981685]
 [ 2.60989011  4.53296703  5.31135531 10.         10.          7.96703297]
 [ 2.10622711  2.83882784  3.61721612 10.         10.          6.54761905]
 [ 4.02930403  6.04395604  3.8003663   6.18131868  4.34981685  2.56410256]
 [ 9.61538462 10.         10.          9.06593407  4.8992674   2.83882784]
 [10.         10.         10.         10.          9.06593407  4.8992674 ]
 [ 6.91391941 10.         10.          5.76923077  1.37362637  0.09157509]
 [ 1.92307692  4.34981685  6.82234432  3.20512821  1.0989011   0.        ]
 [ 0.96153846  3.02197802  5.54029304  5.12820513  2.10622711  0.45787546]
 [ 0.54945055  2.28937729  4.99084249  7.00549451  2.97619048  0.86996337]]"
5,"[[ 0.          0.37174721  1.85873606  7.80669145  3.71747212  9.85130112]
 [ 1.39405204 10.         10.          4.18215613 10.         10.        ]
 [10.          8.55018587  7.43494424  9.10780669 10.         10.        ]
 [ 5.94795539 10.         10.          9.75836431 10.         10.        ]
 [ 8.45724907 10.         10.         10.         10.          9.57249071]
 [10.         10.         10.         10.         10.          8.55018587]
 [10.         10.         10.         10.          8.64312268  8.73605948]
 [10.          9.57249071  7.62081784  5.39033457  4.46096654 10.        ]
 [ 5.29739777  4.83271375  2.88104089  2.9739777  10.         10.        ]
 [ 3.53159851  1.02230483  3.90334572 10.          4.36802974  1.39405204]]"
6,"[[ 1.87032419 10.          1.74563591  0.09351621  0.03117207  0.        ]
 [10.         10.          5.23690773  1.55860349  0.09351621  0.        ]
 [ 4.33291771  7.63715711  8.41645885  3.3042394   0.06234414  0.        ]
 [ 3.17955112  6.67082294 10.          3.55361596  0.3117207   0.        ]
 [ 1.99501247  6.6084788  10.          2.55610973  0.18703242  0.        ]
 [ 0.6234414   7.29426434 10.          2.89900249  0.59226933  0.21820449]
 [ 0.24937656  5.54862843 10.          8.66583541  3.46009975  0.93516209]
 [ 0.28054863  3.64713217  9.819202    9.69451372  5.61097257  3.33541147]
 [ 0.21820449  1.09102244  4.08354115  5.36159601  5.76683292  6.70199501]
 [ 0.03117207  0.34289277  0.46758105  1.27805486  3.89650873  8.19825436]]"
7,"[[ 0.          0.15337423  0.30674847  0.9202454   3.37423313  4.14110429]
 [ 0.          0.          0.38343558  1.8404908   4.83128834  8.28220859]
 [ 0.          0.4601227   1.07361963  4.29447853 10.         10.        ]
 [ 0.07668712  0.4601227   2.7607362  10.         10.         10.        ]
 [ 0.15337423  8.35889571 10.         10.         10.         10.        ]
 [ 8.20552147  8.51226994 10.         10.         10.          9.96932515]
 [ 7.05521472 10.         10.         10.          5.44478528  1.07361963]
 [ 5.98159509  2.60736196 10.          5.21472393  7.89877301 10.        ]
 [ 1.22699387 10.          5.59815951 10.         10.         10.        ]
 [10.          3.83435583  3.29754601  6.05828221  9.58588957  0.        ]]"
8,"[[ 0.82897033  0.65445026  0.56719023  0.87260035  2.26876091  3.83944154]
 [ 2.39965096  3.05410122  1.61431065  2.0069808   3.40314136  6.19546248]
 [ 4.7556719   4.36300175  4.10122164  3.05410122  6.15183246  7.67888307]
 [ 5.06108202  5.58464223 10.          6.80628272  5.84642234  7.72251309]
 [ 4.45026178  6.10820244 10.         10.         10.          9.77312391]
 [ 3.09773124  3.83944154  5.80279232  4.88656195  5.93368237  5.67190227]
 [ 1.17801047  1.09075044  1.87609075  3.22862129  5.97731239 10.        ]
 [ 0.13089005  0.52356021  1.0034904   2.22513089  6.45724258  8.94415358]
 [ 0.          0.04363002  0.47993019  1.52705061  8.15881326  3.70855148]
 [ 0.          0.          0.2617801   0.47993019 10.          2.61780105]]"
9,"[[ 0.         10.          9.42184154  5.83511777  8.94004283  7.49464668]
 [ 4.38972163 10.          4.01498929  4.49678801  4.76445396  4.60385439]
 [ 9.85010707  9.52890792  3.05139186  7.86937901  4.71092077  6.15631692]
 [ 7.92291221  5.78158458 10.          3.80085653  4.22912206  9.20770878]
 [ 6.31691649  6.31691649  2.35546039  2.19486081  7.33404711  9.68950749]
 [ 2.19486081  0.48179872  1.124197    5.46038544  7.60171306 10.        ]
 [ 0.10706638  0.5888651   4.17558887  8.29764454 10.          3.64025696]
 [ 0.16059957  2.14132762  6.2633833   4.87152034  4.65738758  3.15845824]
 [ 1.07066381  6.04925054  3.26552463  5.99571734  9.95717345 10.        ]
 [ 3.05139186  5.0856531   5.29978587  4.60385439  1.76659529  2.40899358]]"
