,S-P Ratio,Self Connections,Conflicting Connections,Loss
0,2.6695642471313477,0.5625,16.375,0.04979547535405105
1,3.113912582397461,0.9375,18.0,0.09242359139379891
2,2.142469882965088,0.4375,18.75,0.06143253241015202
3,1.969810962677002,0.8125,12.1875,0.07393574196504389
4,1.4404677152633667,1.1875,11.9375,0.03851089908793484
5,1.3644713163375854,0.875,10.625,0.05432583563475533
6,1.0595827102661133,0.875,10.875,0.06075981534107813
7,0.8326025009155273,0.9375,8.8125,0.058502030259943855
8,0.7555893063545227,0.5625,6.3125,0.05534810918505256
9,0.500338613986969,1.0625,7.6875,0.0750852424691927
10,0.38340646028518677,0.9375,10.8125,0.04935588065849618
11,0.36811989545822144,0.875,12.0,0.0494619118391057
12,0.2452566772699356,0.4375,7.0625,0.07320756126675537
13,0.2448902577161789,0.5,8.0625,0.05946628761475573
14,0.1789761334657669,0.4375,8.4375,0.04224441876952526
15,0.1748189628124237,0.3125,9.625,0.045187055311324796
16,0.1490568369626999,0.25,10.125,0.05291889762298432
17,0.1431371122598648,0.625,6.6875,0.06287103546384674
18,0.14700622856616974,0.4375,7.1875,0.04882093256806749
19,0.11553831398487091,0.3125,7.3125,0.05988041991684729
20,0.13510459661483765,0.1875,10.5625,0.052465386664463674
21,0.1057267040014267,0.25,7.875,0.05630444291795522
22,0.11228920519351959,0.25,7.1875,0.07237871550145068
23,0.09657974541187286,0.0625,7.75,0.04117140009513779
24,0.09640055894851685,0.25,7.625,0.051336909290941674
25,0.09717275947332382,0.25,7.875,0.05602001313222197
26,0.09629049152135849,0.0625,9.4375,0.04138839520206861
27,0.08945456147193909,0.0,8.875,0.057149615952323075
28,0.10585996508598328,0.1875,9.9375,0.05833711779920915
29,0.09681782126426697,0.25,7.875,0.07146191922057643
30,0.09715667366981506,0.0625,10.375,0.04205635971099431
31,0.09399057179689407,0.25,10.5,0.05164247473236236
32,0.1040782555937767,0.125,11.0625,0.050658664647610124
33,0.09403379261493683,0.0625,10.875,0.052412677487203095
34,0.08637276291847229,0.0625,9.1875,0.06191638063188944
35,0.09967099875211716,0.4375,9.5,0.08082233130894687
36,0.08958631753921509,0.1875,10.6875,0.08267509267918632
37,0.09781746566295624,0.125,11.1875,0.05418670672072479
38,0.09326087683439255,0.0625,11.875,0.06619281931868912
39,0.09360359609127045,0.0625,13.0,0.03959693113701812
40,0.08500207215547562,0.125,12.875,0.04711596495844053
41,0.09161439538002014,0.1875,11.8125,0.050018353781837194
42,0.09834624826908112,0.1875,13.5625,0.07995934144063335
43,0.0907382071018219,0.125,13.6875,0.05354357814975556
44,0.10033214092254639,0.3125,13.1875,0.047115960657452945
45,0.08865620940923691,0.25,14.0625,0.0623689710400765
46,0.12146591395139694,0.25,15.1875,0.05131931605369462
47,0.11173058301210403,0.1875,14.625,0.0641780621461477
48,0.1257442831993103,0.625,14.1875,0.07891150720694387
49,0.09977766126394272,0.3125,13.3125,0.06521202759238039
50,0.11365947127342224,0.25,17.875,0.041384248256320276
51,0.08529675751924515,0.5625,12.9375,0.0644184036920616
52,0.10751741379499435,0.1875,16.5,0.0632878273185125
53,0.10400954633951187,0.125,16.0,0.053235970312092165
54,0.0921119824051857,0.3125,14.75,0.06789898254010565
55,0.10279357433319092,0.1875,15.375,0.0481556678742877
56,0.08136750012636185,0.1875,15.8125,0.05310719412901836
57,0.11692192405462265,0.375,18.6875,0.06680457719926071
58,0.10116258263587952,0.0,16.6875,0.06048533694905663
59,0.10160275548696518,0.125,17.5,0.07197344332713769
60,0.0923655778169632,0.125,18.1875,0.06237806170774152
61,0.10079186409711838,0.3125,16.125,0.07082284639687217
62,0.08767791837453842,0.125,18.8125,0.057160247185259194
63,0.10705477744340897,0.0625,16.9375,0.07075284314449576
64,0.12199399620294571,0.25,20.3125,0.06978660799028412
65,0.09088840335607529,0.125,16.375,0.04476225114511909
66,0.08847068250179291,0.0,15.125,0.04461653809830787
67,0.10201071947813034,0.125,16.6875,0.05719729525613869
68,0.11801666766405106,0.25,17.75,0.06543020579703562
69,0.1419183313846588,0.5,17.8125,0.047737663610016884
70,0.08674772828817368,0.125,20.5,0.07429399112215197
71,0.13108819723129272,0.75,21.125,0.08484887320133369
72,0.12448335438966751,0.1875,18.375,0.0740831973179892
73,0.12097588926553726,0.25,21.4375,0.053581606492829364
74,0.10073171555995941,0.125,15.6875,0.05849010529684766
75,0.0892786830663681,0.3125,19.75,0.046795205085277736
76,0.11084344983100891,0.125,20.5625,0.0681099964045952
77,0.11451425403356552,0.125,19.1875,0.07436017032151106
78,0.13062874972820282,0.25,17.375,0.044749484246058735
79,0.12252111732959747,0.25,20.3125,0.07184612546466272
80,0.18500256538391113,0.375,16.0625,0.08030893630755542
81,0.10452248156070709,0.3125,17.625,0.05207490823632631
82,0.18837162852287292,0.5,22.875,0.06261183481757124
83,0.14064469933509827,0.375,24.3125,0.06800050677584366
84,0.10779565572738647,0.25,20.9375,0.07631482249187885
85,0.12863200902938843,0.25,20.5,0.06506214176388543
86,0.08066926896572113,0.25,17.375,0.058223630968533786
87,0.08687355369329453,0.125,20.375,0.0642097703896952
